[2025-03-17T19:15:24.698+0000] {processor.py:186} INFO - Started process (PID=1699770) to work on /root/venv/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-03-17T19:15:24.699+0000] {processor.py:914} INFO - Processing file /root/venv/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2025-03-17T19:15:24.701+0000] {logging_mixin.py:190} INFO - [2025-03-17T19:15:24.701+0000] {dagbag.py:588} INFO - Filling up the DagBag from /root/venv/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-03-17T19:15:24.721+0000] {processor.py:925} INFO - DAG(s) 'consume_1_or_2_with_dataset_expressions', 'conditional_dataset_and_time_based_timetable', 'dataset_consumes_1', 'dataset_consumes_1_never_scheduled', 'dataset_produces_2', 'dataset_consumes_1_and_2', 'dataset_consumes_unknown_never_scheduled', 'consume_1_and_2_with_dataset_expressions', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'dataset_produces_1' retrieved from /root/venv/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-03-17T19:15:24.754+0000] {logging_mixin.py:190} INFO - [2025-03-17T19:15:24.754+0000] {dag.py:3239} INFO - Sync 10 DAGs
[2025-03-17T19:15:24.786+0000] {logging_mixin.py:190} INFO - [2025-03-17T19:15:24.786+0000] {dag.py:4180} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2025-03-12 01:00:00+00:00, run_after=2025-03-12 01:00:00+00:00
[2025-03-17T19:15:24.789+0000] {logging_mixin.py:190} INFO - [2025-03-17T19:15:24.789+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2025-03-17T19:15:24.790+0000] {logging_mixin.py:190} INFO - [2025-03-17T19:15:24.790+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2025-03-17T19:15:24.791+0000] {logging_mixin.py:190} INFO - [2025-03-17T19:15:24.791+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2025-03-17T19:15:24.792+0000] {logging_mixin.py:190} INFO - [2025-03-17T19:15:24.792+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2025-03-17T19:15:24.793+0000] {logging_mixin.py:190} INFO - [2025-03-17T19:15:24.793+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2025-03-17T19:15:24.793+0000] {logging_mixin.py:190} INFO - [2025-03-17T19:15:24.793+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2025-03-17T19:15:24.794+0000] {logging_mixin.py:190} INFO - [2025-03-17T19:15:24.794+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2025-03-17T19:15:24.796+0000] {logging_mixin.py:190} INFO - [2025-03-17T19:15:24.796+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_1 to 2025-03-16 00:00:00+00:00, run_after=2025-03-17 00:00:00+00:00
[2025-03-17T19:15:24.797+0000] {logging_mixin.py:190} INFO - [2025-03-17T19:15:24.797+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2025-03-17T19:15:24.828+0000] {processor.py:208} INFO - Processing /root/venv/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py took 0.136 seconds
