[2025-03-25T16:59:17.592+0000] {processor.py:186} INFO - Started process (PID=1824137) to work on /root/venv/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-03-25T16:59:17.593+0000] {processor.py:914} INFO - Processing file /root/venv/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2025-03-25T16:59:17.595+0000] {logging_mixin.py:190} INFO - [2025-03-25T16:59:17.595+0000] {dagbag.py:588} INFO - Filling up the DagBag from /root/venv/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-03-25T16:59:17.615+0000] {processor.py:925} INFO - DAG(s) 'dataset_produces_2', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'conditional_dataset_and_time_based_timetable', 'dataset_consumes_unknown_never_scheduled', 'dataset_consumes_1', 'consume_1_and_2_with_dataset_expressions', 'dataset_consumes_1_never_scheduled', 'consume_1_or_2_with_dataset_expressions', 'dataset_produces_1', 'dataset_consumes_1_and_2' retrieved from /root/venv/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-03-25T16:59:17.652+0000] {logging_mixin.py:190} INFO - [2025-03-25T16:59:17.652+0000] {dag.py:3239} INFO - Sync 10 DAGs
[2025-03-25T16:59:17.678+0000] {logging_mixin.py:190} INFO - [2025-03-25T16:59:17.678+0000] {dag.py:4180} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2025-03-19 01:00:00+00:00, run_after=2025-03-19 01:00:00+00:00
[2025-03-25T16:59:17.683+0000] {logging_mixin.py:190} INFO - [2025-03-25T16:59:17.682+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2025-03-25T16:59:17.684+0000] {logging_mixin.py:190} INFO - [2025-03-25T16:59:17.684+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2025-03-25T16:59:17.685+0000] {logging_mixin.py:190} INFO - [2025-03-25T16:59:17.685+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2025-03-25T16:59:17.685+0000] {logging_mixin.py:190} INFO - [2025-03-25T16:59:17.685+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2025-03-25T16:59:17.686+0000] {logging_mixin.py:190} INFO - [2025-03-25T16:59:17.686+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2025-03-25T16:59:17.687+0000] {logging_mixin.py:190} INFO - [2025-03-25T16:59:17.687+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2025-03-25T16:59:17.688+0000] {logging_mixin.py:190} INFO - [2025-03-25T16:59:17.687+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2025-03-25T16:59:17.689+0000] {logging_mixin.py:190} INFO - [2025-03-25T16:59:17.689+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_1 to 2025-03-24 00:00:00+00:00, run_after=2025-03-25 00:00:00+00:00
[2025-03-25T16:59:17.690+0000] {logging_mixin.py:190} INFO - [2025-03-25T16:59:17.690+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2025-03-25T16:59:17.725+0000] {processor.py:208} INFO - Processing /root/venv/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py took 0.140 seconds
